MarketCap,Ticker,Date,Return
78521930363.22559,IBM,2020-03-31,-0.16376934106828311
86633659888.26562,IBM,2020-06-30,0.10330527392178102
88422069697.39258,IBM,2020-09-30,0.020643359768403258
92808158263.6084,IBM,2020-12-31,0.049604002498769395
99562139962.79492,IBM,2021-03-31,0.07277357751247249
110745037985.05176,IBM,2021-06-30,0.11232078806698742
106166467892.60059,IBM,2021-09-30,-0.04134334301342857
108263349011.88672,IBM,2021-12-31,0.01975087954708421
106583564108.05469,IBM,2022-03-31,-0.01551573010777263
117144129886.16895,IBM,2022-06-30,0.09908249800511393
99817618008.33691,IBM,2022-09-30,-0.14790764073853735
119779296157.6582,IBM,2022-12-31,0.19998151175731382
112816642897.31934,IBM,2023-03-31,-0.05812902132246922
116727732064.37793,IBM,2023-06-30,0.034667661318537046
123797641660.61133,IBM,2023-09-30,0.06056752299731305
145949616372.51758,IBM,2023-12-31,0.17893696854610064
171963510515.8086,IBM,2024-03-31,0.17823886619128837
157291176736.96094,IBM,2024-06-30,-0.0853223671396196
202822055682.70508,IBM,2024-09-30,0.28946874128792177
187978283895.77344,IBM,2024-12-31,-0.07318618153714629
